participant_ID,token_set,function_match,category_match,rating
D19,12,0,1,-3
D20,1,0,0,-1
D20,2,1,1,3
D20,3,1,0,3
D20,4,0,1,1
D20,5,0,0,1
D20,6,1,1,3
D20,7,1,0,3
D20,8,0,1,0
D20,9,0,0,1
D20,10,1,1,2
D20,11,1,0,3
D20,12,0,1,1
D21,1,0,0,-2
D21,2,1,1,3
D21,3,1,0,3
D21,4,0,1,-2
D21,5,0,0,-1
D21,6,1,1,3
D21,7,1,0,3
D21,8,0,1,-2
D21,9,0,0,-1
D21,10,1,1,3
D21,11,1,0,3
D21,12,0,1,-1
D22,1,0,0,-3
D22,2,1,1,3
D22,3,1,0,3
D22,4,0,1,2
D22,5,0,0,1
D22,6,1,1,3
D22,7,1,0,3
D22,8,0,1,1
D22,9,0,0,1
D22,10,1,1,3
D22,11,1,0,3
D22,12,0,1,1
